Time,Close,High,Low,Open,Volume
2021-04-12 18:00:00 +0000 UTC,50304.090000,50555.000000,50101.650000,50155.160000,173.229850
2021-04-12 12:00:00 +0000 UTC,50150.010000,50871.430000,50116.410000,50610.180000,368.393545
2021-04-12 06:00:00 +0000 UTC,50601.390000,51000.000000,49985.000000,50499.800000,522.715944
2021-04-12 00:00:00 +0000 UTC,50499.040000,50499.040000,49928.880000,50310.880000,127.879039
2021-04-11 18:00:00 +0000 UTC,50304.080000,50330.960000,49850.000000,50137.600000,131.858200
2021-04-11 12:00:00 +0000 UTC,50136.270000,50200.000000,49595.010000,49948.520000,157.242446
2021-04-11 06:00:00 +0000 UTC,49966.720000,50295.620000,49565.500000,49760.890000,132.270501
2021-04-11 00:00:00 +0000 UTC,49760.890000,50508.000000,49705.120000,50122.800000,140.933574
2021-04-10 18:00:00 +0000 UTC,50134.990000,50150.000000,49000.000000,49982.920000,282.823904
2021-04-10 12:00:00 +0000 UTC,50016.160000,50490.000000,49918.100000,50449.970000,244.737966
2021-04-10 06:00:00 +0000 UTC,50445.120000,50576.990000,50038.900000,50489.520000,355.661268
2021-04-10 00:00:00 +0000 UTC,50489.660000,50700.000000,48701.130000,48915.610000,394.832663
2021-04-09 18:00:00 +0000 UTC,48888.860000,49260.000000,48700.000000,49078.940000,101.531938
2021-04-09 12:00:00 +0000 UTC,49084.660000,49489.280000,48718.560000,49241.270000,228.459344
2021-04-09 06:00:00 +0000 UTC,49233.850000,49507.000000,48568.060000,48781.620000,236.026684
2021-04-09 00:00:00 +0000 UTC,48781.800000,48998.000000,48591.360000,48780.350000,86.757736
2021-04-08 18:00:00 +0000 UTC,48780.350000,48869.740000,48279.610000,48503.900000,145.422356
2021-04-08 12:00:00 +0000 UTC,48523.560000,48765.190000,47513.580000,47570.800000,270.746830
2021-04-08 06:00:00 +0000 UTC,47586.190000,48347.980000,47522.010000,47962.410000,250.213932
2021-04-08 00:00:00 +0000 UTC,47962.400000,48148.190000,46999.000000,47192.260000,91.646730
2021-04-07 18:00:00 +0000 UTC,47206.000000,47735.750000,46800.000000,47242.200000,334.929199
2021-04-07 12:00:00 +0000 UTC,47242.700000,47945.130000,47000.000000,47473.540000,596.277202
2021-04-07 06:00:00 +0000 UTC,47476.450000,49419.950000,47005.000000,49148.150000,730.417434
2021-04-07 00:00:00 +0000 UTC,49118.190000,49177.620000,48260.720000,48919.330000,174.212704
2021-04-06 18:00:00 +0000 UTC,48915.230000,49190.900000,48600.000000,49172.000000,168.903114
2021-04-06 12:00:00 +0000 UTC,49179.520000,49930.000000,48478.890000,49594.860000,550.973539
2021-04-06 06:00:00 +0000 UTC,49594.850000,49933.000000,49397.190000,49836.820000,364.454903
2021-04-06 00:00:00 +0000 UTC,49836.820000,50317.000000,49656.040000,50044.730000,95.112048
2021-04-05 18:00:00 +0000 UTC,50044.000000,50044.000000,49550.000000,49900.080000,207.145793
2021-04-05 12:00:00 +0000 UTC,49912.650000,50214.000000,49104.470000,49195.270000,355.258313
2021-04-05 06:00:00 +0000 UTC,49191.590000,49206.650000,48477.650000,48540.070000,259.181912
2021-04-05 00:00:00 +0000 UTC,48540.080000,49674.070000,48520.000000,49564.600000,88.827973
2021-04-04 18:00:00 +0000 UTC,49538.980000,49694.630000,49074.900000,49611.530000,120.694249
2021-04-04 12:00:00 +0000 UTC,49600.000000,49899.210000,48801.110000,48980.340000,150.986457
2021-04-04 06:00:00 +0000 UTC,48985.220000,49396.390000,48900.000000,49263.150000,181.562752
2021-04-04 00:00:00 +0000 UTC,49261.070000,49381.240000,48334.870000,48749.150000,160.333513
2021-04-03 18:00:00 +0000 UTC,48759.090000,50175.000000,48652.260000,49673.890000,354.527271
2021-04-03 12:00:00 +0000 UTC,49652.860000,50493.710000,49633.000000,50285.440000,197.291937
2021-04-03 06:00:00 +0000 UTC,50319.990000,50679.990000,49916.090000,50466.550000,213.558059
2021-04-03 00:00:00 +0000 UTC,50439.320000,50523.200000,50114.360000,50144.160000,51.494046
2021-04-02 18:00:00 +0000 UTC,50168.440000,50457.420000,49750.000000,50365.000000,198.484199
2021-04-02 12:00:00 +0000 UTC,50383.050000,50720.000000,50200.000000,50603.520000,317.618120
